state,year,tempf,tempc
Calfiornia,1943,57.83333333,14.35185185
Calfiornia,1944,56.225,13.45833333
Calfiornia,1945,57.09166667,13.93981481
Calfiornia,1946,56.71666667,13.73148148
Calfiornia,1947,57.55,14.19444444
Calfiornia,1948,55.65,13.13888889
Calfiornia,1949,56.21666667,13.4537037
Calfiornia,1950,58.125,14.51388889
Calfiornia,1951,57.225,14.01388889
Calfiornia,1952,56.75833333,13.75462963
Calfiornia,1953,57.175,13.98611111
Calfiornia,1954,57.575,14.20833333
Calfiornia,1955,56.20833333,13.44907407
Calfiornia,1956,56.96666667,13.87037037
Calfiornia,1957,57.09166667,13.93981481
Calfiornia,1958,58.89166667,14.93981481
Calfiornia,1959,58.95,14.97222222
Calfiornia,1960,58.05,14.47222222
Calfiornia,1961,57.80833333,14.33796296
Calfiornia,1962,57.375,14.09722222
Calfiornia,1963,57.08333333,13.93518519
Calfiornia,1964,56.56666667,13.64814815
Calfiornia,1965,56.7,13.72222222
Calfiornia,1966,58.00833333,14.44907407
Calfiornia,1967,57.49166667,14.16203704
Calfiornia,1968,57.59166667,14.21759259
Calfiornia,1969,57.49166667,14.16203704
Calfiornia,1970,57.81666667,14.34259259
Calfiornia,1971,56.20833333,13.44907407
Calfiornia,1972,57.25833333,14.03240741
Calfiornia,1973,57.3,14.05555556
Calfiornia,1974,57.63333333,14.24074074
Calfiornia,1975,56.26666667,13.48148148
Calfiornia,1976,57.475,14.15277778
Calfiornia,1977,57.975,14.43055556
Calfiornia,1978,57.60833333,14.22685185
Calfiornia,1979,57.66666667,14.25925926
Calfiornia,1980,58.075,14.48611111
Calfiornia,1981,59.3,15.16666667
Calfiornia,1982,56.34166667,13.52314815
Calfiornia,1983,57.55,14.19444444
Calfiornia,1984,58.21666667,14.56481481
Calfiornia,1985,57.325,14.06944444
Calfiornia,1986,58.875,14.93055556
Calfiornia,1987,58.275,14.59722222
Calfiornia,1988,58.75,14.86111111
Calfiornia,1989,58.10833333,14.50462963
Calfiornia,1990,57.96666667,14.42592593
Calfiornia,1991,58.13333333,14.51851852
Calfiornia,1992,59.26666667,15.14814815
Calfiornia,1993,57.65833333,14.25462963
Calfiornia,1994,58.00833333,14.44907407
Calfiornia,1995,58.93333333,14.96296296
Calfiornia,1996,59.55833333,15.31018519
Calfiornia,1997,59.11666667,15.06481481
Calfiornia,1998,56.70833333,13.72685185
Calfiornia,1999,57.95833333,14.4212963
Calfiornia,2000,58.8,14.88888889
Calfiornia,2001,59.11666667,15.06481481
Calfiornia,2002,58.85,14.91666667
Calfiornia,2003,59.425,15.23611111
Calfiornia,2004,58.85833333,14.9212963
Calfiornia,2005,58.6,14.77777778
Calfiornia,2006,58.64166667,14.80092593
Calfiornia,2007,58.925,14.95833333
Calfiornia,2008,58.91666667,14.9537037
Calfiornia,2009,58.83333333,14.90740741
Calfiornia,2010,57.725,14.29166667
Calfiornia,2011,57.43333333,14.12962963
Calfiornia,2012,59.50833333,15.28240741
Calfiornia,2013,59.31666667,15.17592593
Calfiornia,2014,61.45,16.36111111
Calfiornia,2015,60.75833333,15.97685185
Calfiornia,2016,60.13333333,15.62962963
Calfiornia,2017,60.34166667,15.74537037
Calfiornia,2018,60.125,15.625
Calfiornia,2019,58.375,14.65277778
Colorado,1895,42.43333333,5.796296296
Colorado,1896,44.875,7.152777778
Colorado,1897,44.03333333,6.685185185
Colorado,1898,42.71666667,5.953703704
Colorado,1899,43.16666667,6.203703704
Colorado,1900,45.40833333,7.449074074
Colorado,1901,45.10833333,7.282407407
Colorado,1902,44.69166667,7.050925926
Colorado,1903,42.79166667,5.99537037
Colorado,1904,44.73333333,7.074074074
Colorado,1905,43.49166667,6.384259259
Colorado,1906,43.95833333,6.643518519
Colorado,1907,45.125,7.291666667
Colorado,1908,43.625,6.458333333
Colorado,1909,43.3,6.277777778
Colorado,1910,46.1,7.833333333
Colorado,1911,44.4,6.888888889
Colorado,1912,41.78333333,5.435185185
Colorado,1913,42.80833333,6.00462963
Colorado,1914,44.40833333,6.893518519
Colorado,1915,43.15833333,6.199074074
Colorado,1916,43.48333333,6.37962963
Colorado,1917,42.90833333,6.060185185
Colorado,1918,43.76666667,6.537037037
Colorado,1919,43.25833333,6.25462963
Colorado,1920,43.19166667,6.217592593
Colorado,1921,46,7.777777778
Colorado,1922,44.15833333,6.75462963
Colorado,1923,43.225,6.236111111
Colorado,1924,42.675,5.930555556
Colorado,1925,44.64166667,7.023148148
Colorado,1926,44.66666667,7.037037037
Colorado,1927,44.525,6.958333333
Colorado,1928,43.93333333,6.62962963
Colorado,1929,42.54166667,5.856481481
Colorado,1930,43.625,6.458333333
Colorado,1931,44.95833333,7.199074074
Colorado,1932,43.675,6.486111111
Colorado,1933,45.425,7.458333333
Colorado,1934,47.975,8.875
Colorado,1935,45.16666667,7.314814815
Colorado,1936,45.44166667,7.467592593
Colorado,1937,44.20833333,6.782407407
Colorado,1938,45.09166667,7.273148148
Colorado,1939,45.46666667,7.481481481
Colorado,1940,45.45,7.472222222
Colorado,1941,44.60833333,7.00462963
Colorado,1942,43.9,6.611111111
Colorado,1943,45.725,7.625
Colorado,1944,43.90833333,6.615740741
Colorado,1945,44.21666667,6.787037037
Colorado,1946,45.575,7.541666667
Colorado,1947,44.5,6.944444444
Colorado,1948,43.76666667,6.537037037
Colorado,1949,44.175,6.763888889
Colorado,1950,45.20833333,7.337962963
Colorado,1951,43.46666667,6.37037037
Colorado,1952,44.25,6.805555556
Colorado,1953,45.63333333,7.574074074
Colorado,1954,47.35,8.527777778
Colorado,1955,44.15833333,6.75462963
Colorado,1956,45.08333333,7.268518519
Colorado,1957,44.11666667,6.731481481
Colorado,1958,45.5,7.5
Colorado,1959,44.75833333,7.087962963
Colorado,1960,44.20833333,6.782407407
Colorado,1961,43.85833333,6.587962963
Colorado,1962,45.05,7.25
Colorado,1963,46.18333333,7.87962963
Colorado,1964,43.59166667,6.439814815
Colorado,1965,44.175,6.763888889
Colorado,1966,44.61666667,7.009259259
Colorado,1967,44.76666667,7.092592593
Colorado,1968,43.63333333,6.462962963
Colorado,1969,44.68333333,7.046296296
Colorado,1970,44.3,6.833333333
Colorado,1971,44.06666667,6.703703704
Colorado,1972,44.6,7
Colorado,1973,43.375,6.319444444
Colorado,1974,44.41666667,6.898148148
Colorado,1975,43.50833333,6.393518519
Colorado,1976,44.7,7.055555556
Colorado,1977,46.28333333,7.935185185
Colorado,1978,44.53333333,6.962962963
Colorado,1979,43.49166667,6.384259259
Colorado,1980,45.6,7.555555556
Colorado,1981,47.06666667,8.37037037
Colorado,1982,44.09166667,6.717592593
Colorado,1983,44.40833333,6.893518519
Colorado,1984,43.68333333,6.490740741
Colorado,1985,44.125,6.736111111
Colorado,1986,46.30833333,7.949074074
Colorado,1987,45.25,7.361111111
Colorado,1988,45.1,7.277777778
Colorado,1989,45.375,7.430555556
Colorado,1990,45.6,7.555555556
Colorado,1991,45.04166667,7.24537037
Colorado,1992,45.26666667,7.37037037
Colorado,1993,43.83333333,6.574074074
Colorado,1994,46.51666667,8.064814815
Colorado,1995,45.66666667,7.592592593
Colorado,1996,45.775,7.652777778
Colorado,1997,44.84166667,7.134259259
Colorado,1998,46.25,7.916666667
Colorado,1999,46.64166667,8.134259259
Colorado,2000,47,8.333333333
Colorado,2001,46.85,8.25
Colorado,2002,46.08333333,7.824074074
Colorado,2003,47.025,8.347222222
Colorado,2004,45.84166667,7.689814815
Colorado,2005,46.76666667,8.203703704
Colorado,2006,46.50833333,8.060185185
Colorado,2007,46.175,7.875
Colorado,2008,44.94166667,7.189814815
Colorado,2009,45.18333333,7.324074074
Colorado,2010,46.15,7.861111111
Colorado,2011,45.43333333,7.462962963
Colorado,2012,48.31666667,9.064814815
Colorado,2013,45.09166667,7.273148148
Colorado,2014,46.05833333,7.810185185
Colorado,2015,47.44166667,8.578703704
Colorado,2016,47.28333333,8.490740741
Colorado,2017,47.925,8.847222222
Colorado,2018,47.16666667,8.425925926
Colorado,2019,45.25833333,7.365740741
Connecticut,1895,46.6,8.111111111
Connecticut,1896,46.83333333,8.240740741
Connecticut,1897,47.28333333,8.490740741
Connecticut,1898,48.20833333,9.00462963
Connecticut,1899,47.05,8.361111111
Connecticut,1900,48.44166667,9.134259259
Connecticut,1901,46.55833333,8.087962963
Connecticut,1902,47.16666667,8.425925926
Connecticut,1903,46.88333333,8.268518519
Connecticut,1904,44.325,6.847222222
Connecticut,1905,46.275,7.930555556
Connecticut,1906,47.65833333,8.699074074
Connecticut,1907,45.61666667,7.564814815
Connecticut,1908,48.225,9.013888889
Connecticut,1909,47.36666667,8.537037037
Connecticut,1910,47.56666667,8.648148148
Connecticut,1911,47.675,8.708333333
Connecticut,1912,46.575,8.097222222
Connecticut,1913,49.18333333,9.546296296
Connecticut,1914,46.375,7.986111111
Connecticut,1915,47.875,8.819444444
Connecticut,1916,46.425,8.013888889
Connecticut,1917,44.75833333,7.087962963
Connecticut,1918,46.85833333,8.25462963
Connecticut,1919,47.98333333,8.87962963
Connecticut,1920,46.44166667,8.023148148
Connecticut,1921,49.31666667,9.62037037
Connecticut,1922,47.875,8.819444444
Connecticut,1923,46.76666667,8.203703704
Connecticut,1924,46.35,7.972222222
Connecticut,1925,47.94166667,8.856481481
Connecticut,1926,45.65,7.583333333
Connecticut,1927,47.91666667,8.842592593
Connecticut,1928,47.80833333,8.782407407
Connecticut,1929,47.71666667,8.731481481
Connecticut,1930,48.64166667,9.24537037
Connecticut,1931,49.64166667,9.800925926
Connecticut,1932,48.79166667,9.328703704
Connecticut,1933,48.40833333,9.115740741
Connecticut,1934,47.225,8.458333333
Connecticut,1935,47.30833333,8.50462963
Connecticut,1936,47.69166667,8.717592593
Connecticut,1937,48.725,9.291666667
Connecticut,1938,48.875,9.375
Connecticut,1939,47.75,8.75
Connecticut,1940,45.75,7.638888889
Connecticut,1941,48.475,9.152777778
Connecticut,1942,48.275,9.041666667
Connecticut,1943,47.325,8.513888889
Connecticut,1944,48.25,9.027777778
Connecticut,1945,48.26666667,9.037037037
Connecticut,1946,48.89166667,9.384259259
Connecticut,1947,47.875,8.819444444
Connecticut,1948,47.78333333,8.768518519
Connecticut,1949,50.53333333,10.2962963
Connecticut,1950,47.85,8.805555556
Connecticut,1951,48.98333333,9.435185185
Connecticut,1952,49.35833333,9.643518519
Connecticut,1953,50.525,10.29166667
Connecticut,1954,48.69166667,9.273148148
Connecticut,1955,48.66666667,9.259259259
Connecticut,1956,47.61666667,8.675925926
Connecticut,1957,49.21666667,9.564814815
Connecticut,1958,46.625,8.125
Connecticut,1959,49.21666667,9.564814815
Connecticut,1960,47.96666667,8.87037037
Connecticut,1961,48.29166667,9.050925926
Connecticut,1962,46.75,8.194444444
Connecticut,1963,47.2,8.444444444
Connecticut,1964,48,8.888888889
Connecticut,1965,47.53333333,8.62962963
Connecticut,1966,47.95,8.861111111
Connecticut,1967,47.125,8.402777778
Connecticut,1968,47.74166667,8.74537037
Connecticut,1969,47.95,8.861111111
Connecticut,1970,47.75,8.75
Connecticut,1971,48.25833333,9.032407407
Connecticut,1972,47.275,8.486111111
Connecticut,1973,50.05,10.02777778
